player,team,str
Joe Hill,George Mason University,-0.914
Patrick Mayer,University of Memphis,-0.920
Kasey Countee,East Carolina University,-0.925
Jeremy Bourgeois,Brigham Young University,-0.945
Sergio Chip,Gonzaga University,-0.955
Garrett Gardner,Valparaiso University,-0.959
Roberto Meza,University of Toledo,-0.963
Wil Martin,Saint Mary's College of California,-0.964
No Player 1,St. Peter's University,-0.964
Tom Wittiveen,Montana,-0.969
Diego Castano,Liberty University,-0.973
Jonas Meinzer,San Diego State University,-0.977
Daniel Hernandez,Lipscomb University,-0.977
Nick Mercer,Morehead State University,-0.979
Will Kwok,Boston University,-0.985
Gonzalo Garcia,University of New Orleans,-0.988
Peter Surovic,University of Connecticut,-0.994
Jake Hirschberg,Colgate University,-0.994
Joseph Bishop,Georgia State University,-0.996
Canyon Teague,University of Richmond,-1.011
Jorge Alfonzo,Tennessee Tech University,-1.013
Colton Buffington,Cleveland State University,-1.014
Cyprian Owczarz,Troy University,-1.022
Mark Kovacs,University of Idaho,-1.027
Troy Benson,Southern Utah University,-1.028
Will Cochrane,Portland State University,-1.028
John Stormans,Seattle University,-1.032
Pat O'Neill,IUPUI,-1.032
Federico Buscarino,Jackson State University,-1.033
James Aronson,University of Richmond,-1.035
Niclas Genovese,University of Miami (Florida),-1.045
Harrison McCormick,U.S. Military Academy,-1.045
Gerhard Gruindelingh,University of South Alabama,-1.046
Krishna Jana,U.S. Naval Academy,-1.047
Viktor Farkas,University of Washington,-1.048
Akshay Verma,IUPUI,-1.051
Steven McMullan,Lamar University,-1.062
Jordan Belga,University of Florida,-1.063
Mikko Rajamaki,Lamar University,-1.063
Andrew Ball,Harvard University,-1.067
Chris Essick,Indiana University-Bloomington,-1.072
Jan Dernic,Marist College,-1.073
Peter Galante,Siena College,-1.073
Andrew Dromsky,University of Tennessee,-1.087
Jorge Gonzalez Soler,"Univ. of Wisconsin, Green Bay",-1.102
Kevin Bondar,University of Miami (Florida),-1.105
Brent Chin,University of Oregon,-1.106
JB Gough,Davidson College,-1.107
Quinn Dippel,Creighton University,-1.107
Jeandre Hoogenboezem,Lamar University,-1.108
Elio Livi,St. John's University,-1.108
Mate Virag,Northern Kentucky University,-1.110
Dan Koehler,Drexel University,-1.123
Beau Wills,Hofstra University,-1.129
Connor Arend,Gonzaga University,-1.133
Chris Seitz,Villanova University,-1.133
Ben Spencer,Southern Utah University,-1.136
Ethan Lopez,Portland State University,-1.136
Collin Rigney,Ball State University,-1.140
David Ball,Brigham Young University,-1.157
Charlie Parry,Saint Louis University,-1.158
Luke Saunders,Chattanooga,-1.159
Santiago Canete,Temple University,-1.161
Fredrik Bjerke,Marist College,-1.163
Charlie Volkwein,Holy Cross,-1.164
Juan Troglia,University of South Alabama,-1.165
Lovro Curcija,South Dakota State,-1.167
Kellen Bates,Montana State University-Bozeman,-1.168
David Beasley,IUPUI,-1.171
Thomas Caputo,Binghamton University,-1.175
Carlos do Val,IPFW,-1.181
Ben Gendron,Univ. of Northern Colorado,-1.186
Elliott Baker,Creighton University,-1.190
Ryan Kum,Univ. of Maryland Eastern Shore,-1.191
Jose Moreno Manzano,Radford University,-1.193
Giacomo Adoncecchi,University of New Orleans,-1.197
Jack Williams,Charlotte,-1.199
Daniel Bustamante,Troy University,-1.200
Marten Jonsson,"Southern Illinois, Edwardsville",-1.209
Pulok Bhattacharya,Butler University,-1.212
Rafael Orantes,University of Detroit Mercy,-1.213
Patrick Gaffigan,"Southern Illinois, Edwardsville",-1.213
Gus Orlando,Seattle University,-1.220
Andres Urrea,Saint Joseph's University,-1.227
Nick Bradley,The Citadel,-1.232
Adam Gage-Brown,UNLV,-1.238
Alex Howard,Davidson College,-1.248
Shane Jeffray,University of Delaware,-1.254
Trey Morris,Appalachian State University,-1.258
Conner Edwards,UMKC,-1.258
Fredric Lehfeldt,East Carolina University,-1.259
MJ Every,St. John's University,-1.259
Pedro Wagner,Jacksonville State University,-1.269
Justin Burrus,Villanova University,-1.272
Tomsz Soltyka,Montana,-1.277
Alvaro Cintas,Tennessee Tech University,-1.281
No Player 2,St. Peter's University,-1.284
Joaquin Marquez,Sacramento State,-1.285
Marshall Sharp,University of Pennsylvania,-1.287
Dutin Britton,Univ. of North Dakota,-1.287
Colin Roller,East Carolina University,-1.288
Ryan Hoverson,Univ. of Incarnate Word,-1.289
Juuso Laitinen,Lamar University,-1.290
Arnaud Valentin,Fairleigh Dickinson University,-1.293
Louis Asser,University of Memphis,-1.305
Michael Carella,UC Riverside,-1.308
Daniel Gilbert,Wright State University,-1.308
Justin Chanthalangsy,Marist College,-1.313
Jordan Szabo,Texas A&M University,-1.320
Eldred Stephens,North Carolina A&T State University,-1.327
Chris Cole,Univ. of Illinois at Chicago,-1.329
Shoki Kasahara,University of Arizona,-1.343
Lucas Bombonatti,Boston University,-1.348
Bjorn Scheepbouwer,Idaho State University,-1.351
Michael Sosnowski,Oral Roberts University,-1.352
Ryan Foster,Fairleigh Dickinson University,-1.356
Alex Pavel,Lipscomb University,-1.359
Chris Matturri,Lafayette College,-1.359
Eric Ambrosio,Quinnipiac University,-1.360
Peter Dewitt,Saint Joseph's University,-1.362
Victor Casadevall,Montana,-1.364
Stefano Blatt,South Dakota State,-1.366
Parks Schoen,Wofford,-1.369
Nikita Kostikov,Alcorn State University,-1.370
Sina Sharifi,UC Riverside,-1.374
Tim Kane,Duquesne University,-1.375
Danny Moyer,Boise State University,-1.375
Joao Almeida,Bethune-Cookman University,-1.378
Fernando Sunago,University of Nevada,-1.382
Jose Morales,Stony Brook University,-1.390
Adam Blasinsky,Duquesne University,-1.395
Eden Peleg,Northern Arizona University,-1.398
Daniel Bernal,Tennessee State University,-1.406
Bradley Noyes,Villanova University,-1.408
Warren Bryan,UNC Greensboro,-1.433
Kula Companion,University of Hawaii,-1.435
Matthew Campana,Saint Mary's College of California,-1.435
Felipe Jaworski,Georgia State University,-1.436
Urh Krajnc Domiter,Illinois State University,-1.438
Sam Kellett,Jacksonville State University,-1.444
Max Phipps,"Southern Illinois, Carbondale",-1.445
David Durham,Kennesaw State University,-1.454
Vineet Naran,Temple University,-1.462
Andy Druffel,Univ. of Dayton,-1.467
Jan Cimrman,NJIT,-1.469
Myles Harris,Wright State University,-1.474
Gabriel Pamich,Fairfield University,-1.475
Martin Bedecarratz,St. Francis College (New York),-1.481
Juan Canales,Brigham Young University,-1.486
Ayman Abdulwahab,Sacramento State,-1.488
Christofer Goncalves,New Mexico State University,-1.492
Joel Rubio,Univ. of Texas at San Antonio,-1.497
Porter Myrick,North Carolina A&T State University,-1.500
Dawoud Kabli,Youngstown State University,-1.512
Ziad Sultan,UC Santa Barbara,-1.517
Andrew Harrington,University of Miami (Florida),-1.517
Kacper Stelmaszak,University of Detroit Mercy,-1.520
Simon Jayaram,Univ. of Dayton,-1.527
Caio Niel,Belmont University,-1.530
Shao-Po Yin,Weber State,-1.533
Brandon Mills,Presbyterian College,-1.537
Carl Hedstrom,Univ. of Illinois at Chicago,-1.549
Richard Rangga,NJIT,-1.557
Jake Lazer,Lafayette College,-1.559
Mirko Radosevic,Cleveland State University,-1.562
Jakub Vitek,South Carolina State,-1.562
Mitch Maroscher,Grand Canyon University,-1.565
Andrew Connolly,Wright State University,-1.567
Harry James,Montana State University-Bozeman,-1.568
Ian Risenhoover,Portland State University,-1.574
Branden Olcott,Southern Utah University,-1.574
Anthony Savio,Sacred Heart University,-1.589
Andrew Stutz,Ball State University,-1.591
Devin Outten,Univ. of Maryland Eastern Shore,-1.593
Florian Graskamp,Eastern Kentucky University,-1.594
Bernardo Sanson,Univ. of Dayton,-1.596
Sebastian Penalosa,Morehead State University,-1.601
Alexander Kokorev,University of Wisconsin,-1.610
Kijontray McClay,Univ. of Maryland Eastern Shore,-1.611
Jonathan Quenard,University of Richmond,-1.623
Ozzy Abraham,UNLV,-1.626
Elmar Lutz,Holy Cross,-1.627
Joshua Rubinstein,Bryant University,-1.630
Thomas Gans,IUPUI,-1.635
Ryan Khan,Wagner College,-1.662
Gino Delavalle,Chattanooga,-1.664
Stjepan Cagalj,University of Louisville,-1.669
Andrew Cahn,Western Michigan University,-1.669
Brendon Kempin,University of Notre Dame,-1.673
Gabriel Tolesani,Youngstown State University,-1.678
Artur Culicovschi,UNLV,-1.680
Daniel Cardenas,IPFW,-1.696
Zack Niklaus,University of Delaware,-1.706
Juan Molina,University of Hartford,-1.706
Stepan Vancurik,UAB,-1.706
Cooper Bridge,UC Riverside,-1.714
Austin Kaplan,University of Pennsylvania,-1.716
Brett Moorhead,James Madison University,-1.724
Max Sinn,Nicholls State University,-1.730
Rares Ispas,Niagara University,-1.734
Oliver Welsh,Bryant University,-1.734
Daniel Loebel,Idaho State University,-1.735
Andrew O'Connell,La Salle University,-1.740
Adam Coyne,Alabama State University,-1.743
Sumeet Shinde,University of Arizona,-1.749
Renan Samed,Coastal Carolina University,-1.757
Arthur Bedel,Texas A&M-Corpus Christi,-1.757
Jan-Willem Kleynhans,Appalachian State University,-1.758
Francesc Terns-Campius,St. Francis College (New York),-1.773
Jordan Kuchta,Loyola College (Maryland),-1.774
David Ferragut,Saint Louis University,-1.776
Sergio Arevalillo,University at Buffalo,-1.778
Juanjo de la Llera,Eastern Kentucky University,-1.779
Alberto Tintoré,Eastern Kentucky University,-1.780
S Gonkstaris,Jackson State University,-1.783
Jean-Marc Krone,Campbell University,-1.785
Diego Garavito,Bethune-Cookman University,-1.787
Christoph Haertel,Western Illinois University,-1.791
Will Turner,Boston College,-1.792
Ivan Kravtchenko,Brown University,-1.795
Robert Margitfalvi,University of Nevada,-1.797
Jose Zamorano,University of Arizona,-1.803
Joshua Wardell,University of Florida,-1.804
Jonathan O'Neal,Campbell University,-1.807
Tom Hjertonsson,Northern Illinois University,-1.807
Inaki Belloso,Niagara University,-1.812
Edgar Diaz,South Carolina State,-1.820
Albert Fontova,Stony Brook University,-1.820
Aaron Chalstrom,Creighton University,-1.826
Matt Bennion,"University of South Carolina, Upstate",-1.841
Ahmed Al-Shawafi,Rider University,-1.841
Christos Hadjigeorgiou,George Washington University,-1.846
John Tougher,Lipscomb University,-1.853
Rob Buetti,Holy Cross,-1.857
Samuel Taylor,Radford University,-1.857
Zachary Bost,Appalachian State University,-1.861
Henrique Pereira,South Dakota State,-1.862
Alec Wagner,Saint Mary's College of California,-1.868
Kyle Alper,Quinnipiac University,-1.868
Mac Rechan,Georgetown University,-1.868
Jan Jirus,Ball State University,-1.869
Samuel Bloore,Saint Mary's College of California,-1.872
Gaston Murray,UNC Greensboro,-1.878
Andrew Graham,Wofford,-1.887
Nile Clark,University of Miami (Florida),-1.892
John Giakoumakis,"University of South Carolina, Upstate",-1.898
Richard Sec,Duquesne University,-1.901
Elliott Yee,Indiana University-Bloomington,-1.904
Carl Jedlinski,NJIT,-1.909
Stephen Payne,Western Michigan University,-1.915
Dillon Launius,U.S. Air Force Academy,-1.915
Romain Lefevre,University of New Orleans,-1.934
Darius Mackenzie,University of Wisconsin,-1.934
Stephen Miller,University of Toledo,-1.935
Felix Andre,Morgan State University,-1.939
Maxi Branth,James Madison University,-1.941
Alejandro Capdequi,Oral Roberts University,-1.943
Eduardo Irizarry,St. Bonaventure University,-1.947
Eduardo Martinez,Eastern Washington University,-1.981
Gavin Lewis,Coppin State College,-1.999
Joey Leto,"Univ. of Wisconsin, Green Bay",-2.004
Artem Tarasov,Tennessee Tech University,-2.004
Paul Denele,New Mexico State University,-2.015
Rok Sitar,University of Louisiana,-2.022
Mario Sandoval,Boston University,-2.024
Frenk Kote,Binghamton University,-2.026
Chance Conley,University of Detroit Mercy,-2.028
A. Rahman,Univ. of Arkansas Pine Bluff,-2.028
Zach Lessen,University of Pennsylvania,-2.030
Lucas Waak,Valparaiso University,-2.037
Tyler Tossavainen,U.S. Naval Academy,-2.044
Fabian Woehrl,University of Hawaii,-2.056
Alex Tropiano,Georgetown University,-2.061
Tristan Boustany,Saint Joseph's University,-2.062
Nicholas Carpenter,U.S. Air Force Academy,-2.063
Donovan McSeveney,UAB,-2.069
Connor LaFavre,Xavier University,-2.070
Trevor James,University of Arizona,-2.071
Mischa Koran,Fordham University,-2.071
Ronald Mataba,Alabama State University,-2.074
Lucas Fumagalli,U.S. Air Force Academy,-2.076
Christian Carrillo,Univ. of Texas at San Antonio,-2.080
Brett Shriver,Loyola College (Maryland),-2.086
Matt Phelps,Villanova University,-2.087
Lukas Luckemeier,Presbyterian College,-2.088
Neal Port,Elon University,-2.095
Gleb Skylr,Marquette,-2.099
Sanjay Goswamy,Weber State,-2.102
Jose Calero,IUPUI,-2.105
Jacob Perkins,"Southern Illinois, Edwardsville",-2.107
Joel Jones,Florida A&M University,-2.107
Ruben Franzanti,Winthrop University,-2.109
Kamal Patel,"Univ. of Maryland, Baltimore County",-2.116
Evan Watkins,Davidson College,-2.118
Marcus Vizcarra,UC Riverside,-2.120
Hasier Pastor,California,-2.123
Luke Thompson,Eastern Washington University,-2.130
Carlos Tajes,Tennessee Tech University,-2.133
Saxon Beuhning,San Diego State University,-2.135
Phillip Raikovic,Univ. of Incarnate Word,-2.141
Rui Silva,Eastern Illinois University,-2.151
Sergio de Vilchez,Wichita State University,-2.155
Treajh Ferguson,Morgan State University,-2.159
Jan Penhec,Oral Roberts University,-2.166
Niranjan Ram,Sacramento State,-2.171
Nicholas Ramirez,Univ. of Incarnate Word,-2.177
Reid Burch,Loyola College (Maryland),-2.179
Victor Hoang,Middle Tennessee State University,-2.179
Camilo Patino,Jackson State University,-2.182
Brett Landau,UNC Asheville,-2.185
Jan-Willem Feilzer,DePaul University,-2.186
Juan Calero,Saint Louis University,-2.191
Matt Dunn,University of Arizona,-2.192
Nicolas Vincent,"Southern Illinois, Edwardsville",-2.199
Drew Wendel,Kennesaw State University,-2.207
Diogo Soares,Eastern Kentucky University,-2.207
Mark Kite,U.S. Air Force Academy,-2.213
Dario Rios,Southern Utah University,-2.213
James Mitchell,Austin Peay State University,-2.214
Kashyap Ashok,Drexel University,-2.215
Reece Acree,University of Central Florida,-2.216
Ming Lao,Holy Cross,-2.218
Rodrigo Encinas,College of Charleston,-2.221
Kevin Deligny,Bethune-Cookman University,-2.222
Hicham Belkssir,Temple University,-2.222
Felipe Diaz,Jacksonville State University,-2.225
Jose Zurro,Morehead State University,-2.238
William Jones,Howard University,-2.242
Tommy Marx,Butler University,-2.249
K. Davis,Alabama A&M University,-2.250
Calvin Ngo,UC Riverside,-2.250
Tony Russell,SMU,-2.251
Nate Shanok,Charlotte,-2.254
Christian Kerrigan,Georgia Southern University,-2.257
Colin Buckley,"Nebraska, Omaha",-2.261
Gonzalo Quintana,Fairleigh Dickinson University,-2.264
Stephen Goldman,James Madison University,-2.265
Gagan Jain,Tennessee Tech University,-2.273
Taylor Wilko,Southern Utah University,-2.276
Brent Wheeler,Portland State University,-2.276
Rajanvir Dharni,"University of South Carolina, Upstate",-2.277
Victor Blanco,St. Bonaventure University,-2.280
Shane Korber,Georgetown University,-2.281
Mitch Granger,Univ. of Illinois at Chicago,-2.285
Peter Collins,Siena College,-2.290
Luke Lorenz,Bryant University,-2.319
Gabe Pansera,Jacksonville State University,-2.320
Louis-Philippe Gascon,University of Utah,-2.332
Parks Thompson,Wofford,-2.336
Dimitris Stavropoulos,University of Louisiana,-2.336
Rodrigo Tico,St. Francis Univ. (Pennsylvania),-2.343
Chester Espie,Stetson University,-2.347
Ismael Lahlou,University of Pennsylvania,-2.349
Ricky Hendler,Hofstra University,-2.356
Ignacio Garrido,"University of South Carolina, Upstate",-2.358
Pablo Mora,Western Michigan University,-2.367
Stefan Lemire,Boston University,-2.368
Logan Walker,UNC Greensboro,-2.368
Octavio Canibe,Bucknell University,-2.369
Adam Chan,Fairleigh Dickinson University,-2.371
Jake De Vries,Boston University,-2.373
Jack Carney,Northern Kentucky University,-2.378
Alvaro Barrera,Bethune-Cookman University,-2.379
Greg Olesnycky,Loyola College (Maryland),-2.380
Patrick Downs,Ball State University,-2.391
Vicente Varas,Gonzaga University,-2.398
Iago Seffrin,Austin Peay State University,-2.400
Tim Puterio,University of Delaware,-2.408
Tucker Brown,Univ. of Incarnate Word,-2.412
Sergio Avella,Prairie View A&M University,-2.415
Harry Walshe,Duquesne University,-2.417
Adrian Isache,Northern Kentucky University,-2.419
Sebastien Mathieu,Santa Clara University,-2.419
Patrik Cvik,Alabama State University,-2.422
Ryan Swanier,Jackson State University,-2.431
Andrew Gores,North Carolina,-2.436
Matthew Hutchinson,"Southern Illinois, Edwardsville",-2.437
Stanislav Baco,South Carolina State,-2.440
Ismail Kadyrov,University of Detroit Mercy,-2.447
Tyler Hoffman,Stony Brook University,-2.455
Nic Wilson,Chattanooga,-2.470
Jonny Higham,South Dakota State,-2.488
Matt Helm,Ball State University,-2.488
Nicky Wong,University of Toledo,-2.494
Nika Dolidze,Penn State University,-2.499
Jesse Ruder-Hook,University of Denver,-2.506
Jacob Spreyer,University of Connecticut,-2.512
Sean Donohue,University of Alabama,-2.522
Daniel Populus,University of New Orleans,-2.527
Connor Oberle,Univ. of North Dakota,-2.529
No Player,Univ. of Arkansas Pine Bluff,-2.530
Carlos Martinez,Jackson State University,-2.535
Tyler Edin,Morehead State University,-2.537
Andrew Parks,U.S. Air Force Academy,-2.550
Matt Pronesti,Portland State University,-2.553
Kenzo Kauffmann,Stony Brook University,-2.557
Eduardo Bringold,Eastern Washington University,-2.558
Michael Nguyen,U.S. Military Academy,-2.580
Joshua Baily,North Carolina A&T State University,-2.580
Kelvin Lam,Harvard University,-2.581
Oleg Drobysh,Austin Peay State University,-2.584
Rhys Richardson,University of Idaho,-2.603
Peter O'Donovan,University of Nevada,-2.618
Jordan Loughnan,Univ. of Northern Colorado,-2.618
Peter Bleach,The Citadel,-2.620
Ruben Vanoppen,Mercer University,-2.632
Ryan Henderson,Eastern Illinois University,-2.639
Vuk Vukovic,Eastern Washington University,-2.649
Mario Noboa,Chicago State University,-2.651
Jason Burgess,Liberty University,-2.657
Justin Pagan,Sacred Heart University,-2.679
Aidan McNulty,Boston College,-2.689
Hari Rohan,Stony Brook University,-2.692
Nico Kuehn,"Southern Illinois, Edwardsville",-2.698
Tyler Gardiner,University of Michigan,-2.699
Szymon Opieczonek,"Southern Illinois, Carbondale",-2.722
Peter Molloy,"Southern Illinois, Carbondale",-2.724
Nick Lang,Northern Kentucky University,-2.730
Badr Ouabdelmoumen,Drexel University,-2.733
Bryan Adams,Bucknell University,-2.735
Youssef Hassan,Fresno State,-2.737
Jackson Varney,University of Idaho,-2.738
Karl Wangensten-Oye,IPFW,-2.754
Joe Lee,Univ. of North Dakota,-2.755
Mitchel Knight,Univ. of Northern Colorado,-2.764
Liam Goldberg,New Mexico State University,-2.781
Nicholas Gonzalez,Univ. of Arkansas Pine Bluff,-2.782
Victor Pereira,Youngstown State University,-2.787
Karim Arem,Cornell University,-2.792
Mateus Moreira,South Dakota State,-2.793
Walker Hefferon,Wofford,-2.793
Kyle Childree,Boston College,-2.794
Dylan Appel,Fairfield University,-2.799
Brian Pinkard,Lafayette College,-2.800
Matthew Dean,Sacred Heart University,-2.804
Gilbert Rotich,Bethune-Cookman University,-2.810
Mikheil Khmiadashvili,Santa Clara University,-2.817
Daniel Strawn,Clemson University,-2.834
Francese Terns,St. Francis College (New York),-2.835
Ty Misialek,Univ. of North Dakota,-2.843
Connor Leahy,Seattle University,-2.844
Kasparas Zemaitelis,Sacramento State,-2.859
Stefan Williams,University of Texas at Arlington,-2.864
Bruno Russo,Belmont University,-2.869
Adam Levie,UC Davis,-2.870
Trey Crysel,Lamar University,-2.879
John Nogalski,Saint Louis University,-2.881
Max McLean,Murray State University,-2.885
Anthony Arocho,Brown University,-2.886
Luka Kaic,NJIT,-2.903
Luis Miguel Flores,Saint Louis University,-2.912
Andrew Ong,Duquesne University,-2.926
Lorenz Schwab,Campbell University,-2.932
Jordan Hart,Davidson College,-2.932
Pedro Alonso,Fordham University,-2.934
Matt Wagner,Boston College,-2.935
Filip Stipcic,Temple University,-2.936
Luke Roser,Quinnipiac University,-2.950
Mike Psarros,UMKC,-2.958
Garrett Cona,University of Toledo,-2.961
Dan Rombola,University of Hartford,-2.961
Nikhil Mannepalli,Radford University,-2.978
Jaryd Reese,Jacksonville State University,-2.981
Daniel Grauel,Norfolk State University,-2.991
Pavels Grigorjevs,Chattanooga,-2.993
Conor Moran,George Mason University,-3.001
Biyik Akinshemoyin,"Univ. of Maryland, Baltimore County",-3.015
Eric Schuemans,Univ. of Northern Colorado,-3.024
Steed Johnson,Longwood University,-3.028
Max Vogt,Bryant University,-3.030
Ransom Braaten,"Southern Illinois, Carbondale",-3.035
Vinh Pham,UMKC,-3.035
Jett Cash,Texas A&M University,-3.050
De'Sean Fennell,La Salle University,-3.061
Anthony Tsodikov,Stanford University,-3.063
Mike Standifer,Santa Clara University,-3.069
Garrett Mandrell,Morehead State University,-3.073
Tristan Houle,"Southern Illinois, Edwardsville",-3.076
Jose Pestana,Wright State University,-3.079
Jarred Thompson,Alabama State University,-3.080
Iago Seffrin,Austin Peay State University,-3.080
Nikola Crvelin,University of Texas-Pan American,-3.087
Miljan Ruzic,James Madison University,-3.089
Caleb Troy,University of Richmond,-3.090
Alexandros Georgios Vakouftsis,Fresno State,-3.092
Pablo Lopez,Bethune-Cookman University,-3.108
Y. Dingles,Alabama A&M University,-3.110
Timo Kranz,University of New Orleans,-3.113
Max Renke,DePaul University,-3.114
Tanner Baine,George Mason University,-3.117
Austin Mayo,Univ. of Northern Colorado,-3.118
Jackson Lee,Northern Arizona University,-3.119
Matthew Krizinger,Virginia Commonwealth University,-3.120
Nick Laub,Colgate University,-3.124
Adam Salam,Mount St. Mary's University,-3.130
Charlton Boyd,Wagner College,-3.151
Francisco Del Valle,Sacred Heart University,-3.152
Jordan Portner,Georgetown University,-3.153
Balint Zsidai,Northern Kentucky University,-3.159
Andrey Majkic,U.S. Naval Academy,-3.159
Nicholas Mitric,Murray State University,-3.166
Jalen Evans,Florida A&M University,-3.167
Uldis Gaismins,UMKC,-3.167
Marcus Nalley,IUPUI,-3.172
Mike Furr,University of Delaware,-3.178
Jorge Wilton,Kennesaw State University,-3.187
Santiago Salazar,University of Louisville,-3.202
Ian Glessing,Temple University,-3.206
Wacil Bendjelti,Eastern Washington University,-3.208
Jake Stefanik,University of Kentucky,-3.209
No Player,Norfolk State University,-3.229
Florian Uffer,Longwood University,-3.232
Tyler Pate,University of Central Florida,-3.234
Chris Jimenez,St. Francis Univ. (Pennsylvania),-3.240
Matt Bennion,"University of South Carolina, Upstate",-3.249
Luke Thompson,Hampton University,-3.256
Tanguy Crosnier,University of Detroit Mercy,-3.262
Joey Brandt,Gonzaga University,-3.276
Daniel Gutierrez,George Mason University,-3.278
Simon Cote,Wright State University,-3.284
A. Greig,Univ. of Arkansas Pine Bluff,-3.296
Chris Popso,Rider University,-3.314
Mateo DeSomocurcio,Mount St. Mary's University,-3.326
Thais Minet,Lipscomb University,-3.328
Diogo Garnel,Fairleigh Dickinson University,-3.330
Luiz Pinto,UAB,-3.332
Brandon Goldstein,Lafayette College,-3.352
Dylan Fletcher,Marist College,-3.356
William Goldberg,UNC Asheville,-3.358
John Schubel,UNC Asheville,-3.386
Ryan Lugtu,University of Hartford,-3.392
Cody Miller,Idaho State University,-3.398
Dylan Trent,University of Richmond,-3.398
Luke Synn,Furman University,-3.401
Orin Duffin,Idaho State University,-3.413
Jonathan Edwards,University of Connecticut,-3.418
Colin Nardella,Lehigh University,-3.438
Brian Power,Sacred Heart University,-3.454
Charles Baron,New Mexico State University,-3.461
Karl Enander,Cal Poly,-3.466
Gary Faulcon,Hampton University,-3.473
Ricky Saad,Davidson College,-3.488
Brian Balico,La Salle University,-3.489
Chris Toner,University of Connecticut,-3.491
Devin Barber,Cal Poly,-3.495
Adam Schmidt,Gardner-Webb University,-3.499
Rendelle Burghart,Eastern Washington University,-3.501
Nicholas Whitehead,North Carolina A&T State University,-3.508
Jake Rother,Univ. of Texas at San Antonio,-3.509
Jose Calero,IUPUI,-3.520
Alex Fioravante,Drexel University,-3.538
Luke Lemieux,Fairfield University,-3.538
Freddy Abunku,Xavier University,-3.544
Damien Brenard,East Carolina University,-3.548
Juan Alanis,Wagner College,-3.550
Jay Joshi,University of Detroit Mercy,-3.554
TJ De Santo,St. Bonaventure University,-3.562
Liam Rodriguez,La Salle University,-3.562
Christoffer Appelgren,University of New Orleans,-3.575
George Tioutine,Fairfield University,-3.575
Sajid Rahman,Univ. of Arkansas Pine Bluff,-3.579
Tyler Burnett,U.S. Naval Academy,-3.580
David Bergstrom,Univ. of North Dakota,-3.585
Jack Murphy,Georgetown University,-3.588
Stefan Rhodes,Furman University,-3.592
Cassell King,Univ. of Northern Colorado,-3.592
James Gray,UNC Greensboro,-3.593
Ben Gerber,Bucknell University,-3.615
Marko Minic,"Nebraska, Omaha",-3.617
Bruno Snyder,Prairie View A&M University,-3.622
Terey Hackney,Norfolk State University,-3.622
Cory Seltman,Sacred Heart University,-3.634
Eli Cerdan,St. Francis Univ. (Pennsylvania),-3.636
Jamey Swiggart,University of Utah,-3.637
Ben Wood,Drake University,-3.641
Johan Samuelsson,Univ. of San Francisco,-3.646
Daniel Martinez,"Southern Illinois, Carbondale",-3.654
Simon Jackermeier,St. Peter's University,-3.672
Max Peara,Fordham University,-3.685
Josh Ryan,Winthrop University,-3.689
Jabari Stafford,George Washington University,-3.689
Kent Mukai,Boston College,-3.719
Kyle Burton,Tennessee State University,-3.723
Jacob Sheldon,Univ. of Northern Colorado,-3.727
N/A Albuerquerque,University of New Orleans,-3.741
David Ogan,Coppin State College,-3.745
Enrique Samudio,Morehead State University,-3.749
Michael Savaglio,Valparaiso University,-3.756
Malik Norris,Prairie View A&M University,-3.764
Nicolas Butler,Univ. of Arkansas Pine Bluff,-3.767
Xabier Saavedra,Drexel University,-3.770
Andres Estenssoro,University of Iowa,-3.771
John Peacey,Chattanooga,-3.790
Ryoma Haraguchi,Quinnipiac University,-3.795
Felipe Wenzel,Jacksonville State University,-3.798
Scott Christian,Marquette,-3.798
James Chung,St. Francis College (New York),-3.817
Peter Salomon,Mount St. Mary's University,-3.833
Nicholai Westergaard,University of Pennsylvania,-3.843
Karlo Skvorc,Alabama State University,-3.850
Trevor Haskell,St. Bonaventure University,-3.852
L. Sanchez,Alabama A&M University,-3.871
Connor Andrews,IPFW,-3.876
Parker Goldstien,University of Connecticut,-3.877
Tanner Berkabile,Seattle University,-3.911
Hawkins Owens,Howard University,-3.915
Igor Braga,Norfolk State University,-3.927
Leo Pires,Hofstra University,-3.988
Christian Brockstedt,Univ. of San Francisco,-4.000
Fateh Singh,Norfolk State University,-4.004
Felix Ewers,"University of South Carolina, Upstate",-4.008
Ciaran Lavers,Oral Roberts University,-4.018
Kyle Hairston,North Carolina Central University,-4.022
Tamina Kienka,North Carolina Central University,-4.033
Daniel Merker,University of Southern Mississippi,-4.040
Viboosh Chandrasekar,Auburn University,-4.057
Jack Haffey,Florida State University,-4.060
Brody Rodriguez,Univ. of Incarnate Word,-4.064
Mathieu Pilote-Schraenen,Sacred Heart University,-4.082
Tim Corwin,DePaul University,-4.089
Nikola Pavlovic,Western Illinois University,-4.096
Hans Baumstark,UC Riverside,-4.101
James Jackson,Prairie View A&M University,-4.108
Colin Hart,Eastern Kentucky University,-4.125
Max Heerinckx,Santa Clara University,-4.133
James McManus,"Nebraska, Omaha",-4.142
Sunay Bhat,University of Tennessee,-4.143
Rob Alter,Colgate University,-4.156
Eric Sumanaru,Siena College,-4.174
Evan Holvoet,Kennesaw State University,-4.188
JJ Tauil,Fordham University,-4.190
Diego Asis,Eastern Kentucky University,-4.224
Sam Flaxman,Wagner College,-4.235
Billy Weldon,Butler University,-4.255
Doug Notaris,Binghamton University,-4.260
