player,str
Grant Reiman,-4.005
A. Wade,-4.030
Brandon Stone,-4.032
Ben Tso,-4.036
Miguel Flores,-4.041
David Ogon,-4.053
Lukas Vanzura,-4.067
Dale Fetterman,-4.072
Austin Miller,-4.076
Carlos De La Cruz,-4.096
Gavin Studner,-4.098
Conor Moran,-4.107
Vihar Shah,-4.109
Branden Olcott,-4.109
Patrick Thomas,-4.117
Ian Risenhoover,-4.121
Liam Rodriguez,-4.148
Connor Grady,-4.152
Nathan Greteman,-4.153
Scott Christian,-4.162
Garrett Cona,-4.169
Anjan Kashyab,-4.169
Alex Killam,-4.176
Kamal Patel,-4.178
Joe Diorio,-4.178
Alex Berdnikoff,-4.179
Ignace Warson,-4.185
Tanguy Crosnier,-4.188
Kilian Salgado,-4.192
Peter Colliard,-4.200
Joshua Bailey,-4.214
Brandon Harris,-4.245
Allen Wang,-4.249
Devin James,-4.255
D. Johnson,-4.256
Sam Jankovich,-4.265
Darren Reisch,-4.266
Ryoma Haraguchi,-4.267
Nico Sorrell,-4.293
Mark Miller,-4.295
Agaazi Berhane,-4.303
Matt Bennion,-4.304
Viboosh Chandrasekar,-4.318
Jorge Ortiz-Garcia,-4.327
Jordan Dingle,-4.328
Taylor Wilko,-4.329
Rich DeGregoris,-4.332
Rory Samuels,-4.356
Lakshamana Satchihananthan,-4.356
Marc Sodini,-4.359
Jacob Sheldon,-4.382
Mark Robinson,-4.403
Rosen Ilchev,-4.408
Lachlan Manser,-4.418
Pat O`Shea,-4.434
Myron Davis,-4.450
Lucas Dages,-4.458
Joe Daniels,-4.467
Simon Danyluk,-4.469
Dan Sablik,-4.477
Andrew Dottino,-4.483
Ryan Lugtu,-4.486
Freddy Abunku,-4.500
Joseph Journey,-4.512
Alvaro Santamaria,-4.523
Richie Agarwal,-4.538
M. Winroy,-4.543
Darren Mast,-4.553
Joshua Palmer,-4.554
Jake Mostyn-Kolb,-4.556
Jualon Greig,-4.562
Lucas Whaley,-4.584
Luis Ulloa,-4.592
Sergio Carvajal,-4.611
John Ellis,-4.629
M Suarez,-4.637
Evan Holvoet,-4.644
Parker Goldstien,-4.682
Harold Fowler,-4.698
Matt Funiciello,-4.699
Juan Molina,-4.706
Sacha Singh,-4.717
Edward Butler,-4.724
Alex Castro,-4.730
Joe Bove,-4.732
Peter Odeghami,-4.753
Julian Chavez,-4.767
Alex Sweet,-4.775
Keiston France,-4.799
Fabrice George,-4.809
Aldred Carroll,-4.821
Jimmy Ye,-4.846
Evan Borowski,-4.866
Andrew Proto,-4.889
Gregoire Balenci,-4.894
Trent Reiman,-4.899
Alex Burbine,-4.904
Oliver Bellomi,-4.911
Thomas MacLeod,-4.960
Bharani Sankar,-4.967
Matt Bouggy,-4.983
Federico Mendletta,-4.983
Pedro Alonso,-5.004
Sagar Sathyanarayaman,-5.049
Lucas Krusinski,-5.135
Geoff Tulloch,-5.157
Zack Niklaus,-5.160
Matthew Begley,-5.188
Chris Bunch,-5.218
Chan Ton Phan,-5.235
A. Butler,-5.264
Jeremy Van Herwarde,-5.270
Kyle Scott,-5.287
Ben Teicher,-5.327
Vincius Degani,-5.332
Milos Vukicevic,-5.357
No Player,-5.383
Spencer Nielsen,-5.397
Sebastian Barbero,-5.506
Jorge Rodriguez,-5.527
Miguel Martin,-5.529
Jorge Del Rey Rojas,-5.541
Ryan Templet,-5.562
Jamal Hoyte,-5.590
Jason Ulacio,-5.606
Hernan Geria,-5.631
Louis Tonon,-5.661
A. Carroll,-5.668
Rashley Yeremia,-5.673
Joseph Kavalovski,-5.691
Sebastian Rojas,-5.700
Hawkins Owens,-5.751
Joey Brander,-5.756
Aleks Mitric,-5.762
Zach Wilder,-5.865
Srdjan Troscic,-5.999
Jonathan Paredes,-6.111
Andrew Ginzberg,-6.224
Tyler Flematti,-6.244
Anthony Timberlake,-6.327
Alessandro Saglia,-6.341
Shaheed Mourillon,-6.373
Ross Smith,-6.905
Surya Sawhney,-6.968
Jacob Sanders,-7.079
