rk,player,team,str
270,Michala Kucharova,Auburn University,41.38
271,Rongrong Leenabanchong,University of Tulsa,41.31
272,Palina Dubavets,TCU,41.30
273,Elizabeth Thoms,University of Texas at Arlington,40.76
274,Nikol Hristova,Old Dominion University,40.65
275,Joanna Nalborska,North Carolina State,40.48
276,Hana Ritterova,University of the Pacific (California),40.40
277,Lolade Ogungbesan,Univ. of Pittsburgh,40.37
278,Ella Taylor,LSU,39.87
279,Marika Cusick,Cornell University,39.43
280,Andie Dikosavljevic,Auburn University,39.18
281,Welma Luus,"University of Maryland, College Park",38.86
282,Martina Frantova,Mississippi State University,38.84
283,Tristen Dewar,Clemson University,38.83
284,Oleksandra Shkorupeieva,University of Arkansas,38.76
285,Salome Kvitashvili,Virginia Commonwealth University,38.60
286,Sofiko Kadzhaya,TCU,38.60
287,Karolina Rozenberg,Long Beach State University,38.59
288,Victoria Kisialeva,Penn State University,38.51
289,Mia Vriens,Florida State University,38.37
290,Nika Khmolovska,Old Dominion University,37.84
291,Kat Facey,UC Irvine,37.82
292,Alyssa Tobita,University of Oregon,37.52
293,Julia Schiller,Wichita State University,37.16
294,Ekaterina Tour,"University of Maryland, College Park",37.13
295,Kennedy Davis,San Diego State University,37.00
296,Olaya Garrido-Rivas,University of South Florida,36.91
297,Alexis Pereira,TCU,36.86
298,Allison Miller,University of Notre Dame,36.72
299,Katya Vasilyev,Boston College,36.61
300,Manon Peri,Northwestern University,36.48
301,Hadley Berg,University of South Carolina,36.15
302,Louise Kwong,University of Illinois,35.73
303,Priscilla Annoual,Grand Canyon University,35.72
304,Kristin Wiley,UCLA,35.38
305,Angeles de los Rios,University of Texas at Arlington,35.26
306,Patricia Lancranjan,DePaul University,35.09
307,Ansley Speaks,Furman University,34.72
308,Sybille Gauvain,San Jose State University,34.39
309,Rhiann Newborn,Syracuse University,34.29
310,Yuilynn Miao,Clemson University,34.20
311,Nia Rose,University of Oregon,33.97
312,Galina Bykova,University of Idaho,33.93
313,Seda Arantekin,TCU,33.74
314,Jamie Pawid,Saint Mary's College of California,33.69
315,Mira Ruder-Hook,University of Michigan,33.61
316,Smith Hinton,University of Kansas,33.44
317,Krisztina Kapitany,Purdue University,33.37
318,Ksenia Pronina,Iowa State University,33.22
319,Saana Saarteinen,University of Tulsa,33.20
320,Samanatha Czarniak Rego,Texas Tech University,33.16
321,Katrine Steffensen,Princeton University,33.14
322,Yelena Nemchen,University of Tulsa,32.99
323,Alex D'Ascenzo,Cornell University,32.89
324,Anna Pomyatinskaya,Marshall University,32.76
325,Hristina Dishkova,SMU,32.28
326,Aleksandra Trifunovic,Wichita State University,32.17
327,Maddie Silver,Marshall University,32.00
328,Kelsey Dieters,University of Kentucky,31.86
329,Monica Lin,Harvard University,31.65
330,Ferny Angeles Paz,Ohio State University,31.49
331,Daniela Schippers,Florida State University,31.44
332,Lindsey Hodge,Rice University,30.58
333,Michaela Capannolo,Pepperdine,30.43
334,Joanna Smith,Arizona State University,30.41
335,Christine Maddox,Pepperdine,30.36
336,Kayla Jones,Chattanooga,30.02
337,Tina Rupert,University of Houston,29.88
338,Erin Faulkner,Michigan State University,29.80
339,Emily Fanning,Florida State University,29.61
340,Olga Barshchevskaya,Virginia Commonwealth University,29.51
341,Marlou Kluiving,University of Oregon,29.42
342,Malena Gordo,Stephen F. Austin,29.17
343,Paula de Man,Auburn University,29.14
344,Srna Stosljevic,University of Connecticut,29.05
345,Jacqueline Crawford,Dartmouth College,28.97
346,Tina Bokhua,University of Colorado,28.77
347,Ksenia Laskutova,University of Tulsa,28.71
348,Caroline Ryba,University of Minnesota,28.70
349,Gussie O'Sullivan,Arizona State University,28.43
350,Liza Tymchenko,University of Memphis,28.43
351,Matea Cutura,Pepperdine,28.31
352,Dena Tanenbaum,Cornell University,28.22
353,Alecia Kauss,Indiana University-Bloomington,28.13
354,Jana McCord,Saint Mary's College of California,28.04
355,Nicole Martinez,North Carolina State,27.95
356,Natalie Da Silveira,UC Santa Barbara,27.82
357,Anastasiya Shestakova,University of North Texas,27.57
358,Paola Artiga,UNLV,27.49
359,Elizaveta Luzina,Washington State University,27.32
360,Makenzie Craft,University of Arkansas,27.22
361,Ashvarya Shrivastava,New Mexico State University,27.09
362,Mina Matsuba,Bethune-Cookman University,27.04
363,Dasha Sapogova,Penn State University,27.01
364,Olivia Thaler,College of William and Mary,26.96
365,Rima Asatrian,Columbia University,26.90
366,Savannah Ware,Brigham Young University,26.81
367,Kirsten Lewis,University of Kentucky,26.76
368,Sophie Rufyikiri,ULM (Univ. of Louisiana at Monroe),26.72
369,Sarah Gong,UC Irvine,26.62
370,Chalena Scholl,Duke University,26.60
371,Katie Edwards,Gonzaga University,26.23
372,Ana Vladutu,DePaul University,26.20
373,Lou Adler,UC Santa Barbara,25.96
374,Lynda Xepoleas,Purdue University,25.90
375,Ellie Yates,Vanderbilt University,25.84
376,Linn Timmermann,Georgia State University,25.70
377,Kelly Poggensee-Wei,University of Cincinnati,25.64
378,June Lee,Harvard University,25.60
379,Thyra Taune,Univ. of San Francisco,25.30
380,Rebecca Smaller,Duke University,25.17
381,Skylar Holloway,LSU,25.02
382,Annika Ringblom,Harvard University,24.71
383,Nataly Yoo,Univ. of Central Arkansas,24.56
384,Trang Huynh,Troy University,24.49
385,Kana Daniel,University of Pennsylvania,24.19
386,Cecilia Estlander,California,24.15
387,Caroline Eberhart,University of Central Florida,24.01
388,Noel Scott,LSU,23.96
389,Jennifer Ciotti,Bucknell University,23.95
390,Nuria Ormeno Ruiz,University of Colorado,23.88
391,Marta Morga,University of Memphis,23.61
392,Aspen Cervin,Saint Louis University,23.59
393,Teodora Radosavljevic,George Washington University,23.51
394,Ana Yrazusta Acosta,"Univ. of Massachusetts, Amherst",23.49
395,Nataliya Bredikhina,"University of Maryland, College Park",23.41
396,Natasha Prokhnevska,Georgia Tech,23.35
397,Mahitha Dadireddy,University of Tulsa,23.33
398,Petra Horakova,ULM (Univ. of Louisiana at Monroe),23.20
399,Laura Valkova,University of South Alabama,23.18
400,Natasha Smith,University of New Mexico,23.17
401,Capucine Gregoire,University of Washington,23.16
402,Olga Martinez,University of South Florida,23.13
403,Cristina Di Lorenzo,Xavier University,23.07
404,Sarah Richter,University of Utah,22.72
405,Naz Karagoz,Tulane University,22.70
406,Louise Ronaldson,Mississippi State University,22.56
407,Tereza Brichacova,University of Minnesota,22.53
408,Celia Rodriguez Delgado,Texas A&M Corpus-Christi,22.51
409,Delphine Rouvillios,Santa Clara University,22.44
410,Johanna Sterkel,Florida Gulf Coast University,22.41
411,Karyn Guttormsen,Oklahoma State University,22.30
412,Julie Vrabel,University of Notre Dame,22.18
413,Ellen Jang-Milsten,Harvard University,21.98
414,Maria Belen Ludueña,University of Kansas,21.89
415,Rana Sherif Ahmed,Fresno State,21.85
416,Ola Mally,University of Louisville,21.77
417,Alina Abdurakhimova,Temple University,21.71
418,Ebba Unden,Long Beach State University,21.70
419,Anna Morozova,St. John's University,21.50
420,Annie Mulholland,Duke University,21.40
421,Lauren Golick,Cleveland State University,21.39
422,Grainne O'Neill,Ohio State University,21.37
423,Alina Soltanici,Sacramento State,21.35
424,Komal Safdar,Syracuse University,21.35
425,Viktoria Malova,"Univ. of Hawaii, Manoa",21.34
426,Katelyn Jackson,Texas Tech University,21.02
427,Natalie Vavulina,St. John's University,21.00
428,Palma Juhasz,Kansas State,20.95
429,Jessica Perez,Loyola Marymount University,20.94
430,Danielle Wagland,University of Texas at Austin,20.92
431,Christie Brigante,University of Oklahoma,20.89
432,Sara Remynse,University of Michigan,20.87
433,Samantha Wood,Samford University,20.79
434,Gaelle Rey,San Jose State University,20.73
435,Alexis Prokopuik,Georgia Tech,20.65
436,Cassie Mercer,University of Virginia,20.58
437,Lizzie Stewart,Cornell University,20.45
438,Monica Mitta,University of South Alabama,20.42
439,Olivia Sneed,Ohio State University,20.36
440,Esther Zuniga,University of North Florida,20.26
441,Ree Ree Li,Yale University,20.26
442,Jaimee Gilbertson,UC Santa Barbara,20.24
443,Madison Harrison,University of Kansas,20.04
444,Zalina Khairudinova,University of Mississippi,20.00
445,Maggy Lehmicke,University of Nebraska,19.63
446,Shelia Morales-Hidalgo,University of Nevada,19.61
447,Emily Flickinger,Auburn University,19.56
448,Jazmin Britos,Louisiana Tech University,19.51
449,Kristina Labeja,Eastern Kentucky University,19.44
450,Natalya Krutova,Northwestern State University,19.38
451,Dasha Sharapova,SMU,19.28
452,Brooke Rischbieth,Northwestern University,19.13
453,Alexa Anton-Ohlmeyer,Georgia Tech,19.13
454,Stephanie Barnett,Nicholls State University,19.07
455,Crystal Leung,Columbia University,19.06
456,Renata Kurikova,University of Tulsa,19.02
457,Paula Gutierrez,Indiana University-Bloomington,18.79
458,Catherine Leduc,Saint Mary's College of California,18.78
459,Cassidy Spearman,"Univ. of Missouri, Columbia",18.66
460,Alice Garcia,Winthrop University,18.46
461,Alix Thurman,Miami University (Ohio),18.38
462,Monica Matias,University of Central Florida,18.08
463,Sonya Latycheva,University of Pennsylvania,17.85
464,Lucia Kovalova,Wichita State University,17.84
465,Vivienne Kulicke,Stephen F. Austin,17.81
466,Kseniya Bardabush,University of North Texas,17.64
467,Alexis Valenzuela,Cal State Fullerton,17.27
468,Nayara Moraes,Middle Tennessee State University,17.26
469,Olga Bredikhina,"University of Maryland, College Park",17.22
470,Olivia Lucas,Elon University,17.22
471,Alexandra Solovyev,Columbia University,17.20
472,Hayley Thompson,Long Beach State University,17.08
473,Jen Pfeifler,Auburn University,17.01
474,Reka Muller,Auburn University,16.82
475,Malin Cubucku,San Jose State University,16.79
476,Alison Ho,Rice University,16.63
477,Ipek Birol,Tulane University,16.62
478,Kely Putri,Baylor University,16.61
479,Marta Stojanovic,University of San Diego,16.55
480,Nina Nagode,Florida International University (FIU),16.49
481,Maddie Stearns,Brown University,16.41
482,Kennan Johnson,University of Central Florida,16.37
483,Katherine Butler,Virginia Tech,16.35
484,Susana Alcaraz,New Mexico State University,16.33
